ind1,ind2,win1,win2
15,17,0,0
15,21,4,0
15,6,0,0
15,8,7,0
15,1,0,0
15,10,0,0
15,22,1,0
15,2,1,0
15,11,0,0
15,5,3,0
15,16,0,0
15,12,4,0
15,9,0,0
15,26,0,0
15,25,2,0
15,29,2,0
15,27,9,0
15,28,2,0
15,24,5,0
17,21,3,0
17,6,0,0
17,8,1,0
17,1,0,0
17,10,0,0
17,22,0,0
17,2,0,0
17,11,1,0
17,5,2,0
17,16,0,0
17,12,5,0
17,9,1,0
17,26,0,0
17,25,0,0
17,29,0,0
17,27,2,0
17,28,1,0
17,24,1,0
21,6,0,0
21,8,2,0
21,1,0,0
21,10,1,0
21,22,1,0
21,2,1,0
21,11,1,0
21,5,1,0
21,16,1,0
21,12,1,0
21,9,1,0
21,26,3,0
21,25,0,0
21,29,1,0
21,27,3,0
21,28,2,0
21,24,1,0
6,8,0,1
6,1,0,0
6,10,0,0
6,22,1,0
6,2,0,0
6,11,0,0
6,5,0,0
6,16,0,0
6,12,3,0
6,9,0,0
6,26,1,0
6,25,0,0
6,29,0,0
6,27,1,0
6,28,1,0
6,24,1,0
8,1,1,0
8,10,0,0
8,22,2,0
8,2,3,0
8,11,2,1
8,5,1,0
8,16,0,0
8,12,1,0
8,9,1,0
8,26,2,0
8,25,2,0
8,29,2,0
8,27,6,0
8,28,4,0
8,24,0,0
1,10,0,0
1,22,0,0
1,2,0,0
1,11,0,0
1,5,0,0
1,16,0,0
1,12,0,0
1,9,0,0
1,26,1,0
1,25,0,0
1,29,1,0
1,27,0,0
1,28,0,0
1,24,0,0
10,22,0,0
10,2,0,0
10,11,0,0
10,5,2,0
10,16,0,0
10,12,0,0
10,9,0,0
10,26,0,0
10,25,0,0
10,29,0,0
10,27,1,0
10,28,0,0
10,24,0,0
22,2,2,0
22,11,1,0
22,5,2,0
22,16,0,0
22,12,1,0
22,9,0,0
22,26,2,0
22,25,0,0
22,29,0,0
22,27,1,0
22,28,2,0
22,24,3,0
2,11,0,0
2,5,1,0
2,16,2,0
2,12,1,0
2,9,4,0
2,26,1,0
2,25,0,0
2,29,0,0
2,27,1,0
2,28,0,0
2,24,0,0
11,5,0,0
11,16,0,0
11,12,1,0
11,9,0,0
11,26,1,0
11,25,0,0
11,29,0,0
11,27,1,0
11,28,0,0
11,24,1,0
5,16,0,0
5,12,0,5
5,9,0,0
5,26,0,0
5,25,1,0
5,29,1,0
5,27,2,0
5,28,1,0
5,24,1,0
16,12,0,0
16,9,0,0
16,26,0,0
16,25,0,0
16,29,0,0
16,27,0,0
16,28,1,0
16,24,0,0
12,9,0,0
12,26,0,0
12,25,1,0
12,29,1,0
12,27,1,0
12,28,0,0
12,24,0,0
9,26,0,0
9,25,1,0
9,29,0,0
9,27,0,0
9,28,1,0
9,24,0,0
26,25,1,0
26,29,1,0
26,27,0,0
26,28,1,0
26,24,0,0
25,29,0,0
25,27,0,0
25,28,1,0
25,24,0,0
29,27,0,0
29,28,1,0
29,24,0,0
27,28,0,0
27,24,1,0
28,24,3,0